Wgen,interval,P_w
WIND_01,1,9.89
WIND_01,2,9.89
WIND_01,3,0.0
WIND_01,4,0.0
WIND_01,5,0.0
WIND_01,6,0.0
WIND_01,7,0.0
WIND_01,8,0.0
WIND_01,9,0.0
WIND_01,10,0.0
WIND_01,11,0.0
WIND_01,12,0.0
WIND_01,13,0.0
WIND_01,14,0.0
WIND_01,15,0.0
WIND_01,16,0.0
WIND_01,17,0.0
WIND_01,18,0.0
WIND_01,19,0.0
WIND_01,20,0.0
WIND_01,21,0.0
WIND_01,22,0.0
WIND_01,23,9.89
WIND_01,24,9.89
WIND_02,1,10.75
WIND_02,2,10.75
WIND_02,3,0.0
WIND_02,4,0.0
WIND_02,5,0.0
WIND_02,6,0.0
WIND_02,7,0.0
WIND_02,8,0.0
WIND_02,9,0.0
WIND_02,10,0.0
WIND_02,11,0.0
WIND_02,12,0.0
WIND_02,13,0.0
WIND_02,14,0.0
WIND_02,15,0.0
WIND_02,16,0.0
WIND_02,17,0.0
WIND_02,18,0.0
WIND_02,19,0.0
WIND_02,20,0.0
WIND_02,21,0.0
WIND_02,22,0.0
WIND_02,23,10.75
WIND_02,24,10.75
WIND_03,1,10.069999999999999
WIND_03,2,10.069999999999999
WIND_03,3,0.0
WIND_03,4,0.0
WIND_03,5,0.0
WIND_03,6,0.0
WIND_03,7,0.0
WIND_03,8,0.0
WIND_03,9,0.0
WIND_03,10,0.0
WIND_03,11,0.0
WIND_03,12,0.0
WIND_03,13,0.0
WIND_03,14,0.0
WIND_03,15,0.0
WIND_03,16,0.0
WIND_03,17,0.0
WIND_03,18,0.0
WIND_03,19,0.0
WIND_03,20,0.0
WIND_03,21,0.0
WIND_03,22,0.0
WIND_03,23,10.069999999999999
WIND_03,24,10.069999999999999
