lines,interval,f
L1,1,-0.11
L1,2,-0.11
L1,3,-0.11
L1,4,-0.11
L1,5,-0.11
L1,6,-0.11
L1,7,-0.11
L1,8,-0.11
L1,9,-0.11
L1,10,-0.11
L1,11,-0.11
L1,12,-0.11
L1,13,-0.11
L1,14,-0.11
L1,15,-0.11
L1,16,-0.11
L1,17,-0.11
L1,18,-0.11
L1,19,-0.11
L1,20,-0.11
L1,21,-0.11
L1,22,-0.11
L1,23,-0.11
L1,24,-0.11
L7,1,-0.08
L7,2,-0.08
L7,3,-0.08
L7,4,-0.08
L7,5,-0.08
L7,6,-0.08
L7,7,-0.08
L7,8,-0.08
L7,9,-0.08
L7,10,-0.08
L7,11,-0.08
L7,12,-0.08
L7,13,-0.08
L7,14,-0.08
L7,15,-0.08
L7,16,-0.08
L7,17,-0.08
L7,18,-0.08
L7,19,-0.08
L7,20,-0.08
L7,21,-0.08
L7,22,-0.08
L7,23,-0.08
L7,24,-0.08
L4,1,-0.04
L4,2,-0.04
L4,3,-0.04
L4,4,-0.04
L4,5,-0.04
L4,6,-0.04
L4,7,-0.04
L4,8,-0.04
L4,9,-0.04
L4,10,-0.04
L4,11,-0.04
L4,12,-0.04
L4,13,-0.04
L4,14,-0.04
L4,15,-0.04
L4,16,-0.04
L4,17,-0.04
L4,18,-0.04
L4,19,-0.04
L4,20,-0.04
L4,21,-0.04
L4,22,-0.04
L4,23,-0.04
L4,24,-0.04
L8,1,-0.04
L8,2,-0.04
L8,3,-0.04
L8,4,-0.04
L8,5,-0.04
L8,6,-0.04
L8,7,-0.04
L8,8,-0.04
L8,9,-0.04
L8,10,-0.04
L8,11,-0.04
L8,12,-0.04
L8,13,-0.04
L8,14,-0.04
L8,15,-0.04
L8,16,-0.04
L8,17,-0.04
L8,18,-0.04
L8,19,-0.04
L8,20,-0.04
L8,21,-0.04
L8,22,-0.04
L8,23,-0.04
L8,24,-0.04
L10,1,-0.04
L10,2,-0.04
L10,3,-0.04
L10,4,-0.04
L10,5,-0.04
L10,6,-0.04
L10,7,-0.04
L10,8,-0.04
L10,9,-0.04
L10,10,-0.04
L10,11,-0.04
L10,12,-0.04
L10,13,-0.04
L10,14,-0.04
L10,15,-0.04
L10,16,-0.04
L10,17,-0.04
L10,18,-0.04
L10,19,-0.04
L10,20,-0.04
L10,21,-0.04
L10,22,-0.04
L10,23,-0.04
L10,24,-0.04
L5,1,0.03
L5,2,0.03
L5,3,0.03
L5,4,0.03
L5,5,0.03
L5,6,0.03
L5,7,0.03
L5,8,0.03
L5,9,0.03
L5,10,0.03
L5,11,0.03
L5,12,0.03
L5,13,0.03
L5,14,0.03
L5,15,0.03
L5,16,0.03
L5,17,0.03
L5,18,0.03
L5,19,0.03
L5,20,0.03
L5,21,0.03
L5,22,0.03
L5,23,0.03
L5,24,0.03
L9,1,-0.03
L9,2,-0.03
L9,3,-0.03
L9,4,-0.03
L9,5,-0.03
L9,6,-0.03
L9,7,-0.03
L9,8,-0.03
L9,9,-0.03
L9,10,-0.03
L9,11,-0.03
L9,12,-0.03
L9,13,-0.03
L9,14,-0.03
L9,15,-0.03
L9,16,-0.03
L9,17,-0.03
L9,18,-0.03
L9,19,-0.03
L9,20,-0.03
L9,21,-0.03
L9,22,-0.03
L9,23,-0.03
L9,24,-0.03
L3,1,-0.05
L3,2,-0.05
L3,3,-0.05
L3,4,-0.05
L3,5,-0.05
L3,6,-0.05
L3,7,-0.05
L3,8,-0.05
L3,9,-0.05
L3,10,-0.05
L3,11,-0.05
L3,12,-0.05
L3,13,-0.05
L3,14,-0.05
L3,15,-0.05
L3,16,-0.05
L3,17,-0.05
L3,18,-0.05
L3,19,-0.05
L3,20,-0.05
L3,21,-0.05
L3,22,-0.05
L3,23,-0.05
L3,24,-0.05
L11,1,-0.04
L11,2,-0.04
L11,3,-0.04
L11,4,-0.04
L11,5,-0.04
L11,6,-0.04
L11,7,-0.04
L11,8,-0.04
L11,9,-0.04
L11,10,-0.04
L11,11,-0.04
L11,12,-0.04
L11,13,-0.04
L11,14,-0.04
L11,15,-0.04
L11,16,-0.04
L11,17,-0.04
L11,18,-0.04
L11,19,-0.04
L11,20,-0.04
L11,21,-0.04
L11,22,-0.04
L11,23,-0.04
L11,24,-0.04
L6,1,0.08
L6,2,0.08
L6,3,0.08
L6,4,0.08
L6,5,0.08
L6,6,0.08
L6,7,0.08
L6,8,0.08
L6,9,0.08
L6,10,0.08
L6,11,0.08
L6,12,0.08
L6,13,0.08
L6,14,0.08
L6,15,0.08
L6,16,0.08
L6,17,0.08
L6,18,0.08
L6,19,0.08
L6,20,0.08
L6,21,0.08
L6,22,0.08
L6,23,0.08
L6,24,0.08
L2,1,0.6
L2,2,0.6
L2,3,0.6
L2,4,0.6
L2,5,0.6
L2,6,0.6
L2,7,0.6
L2,8,0.6
L2,9,0.6
L2,10,0.6
L2,11,0.6
L2,12,0.6
L2,13,0.6
L2,14,0.6
L2,15,0.6
L2,16,0.6
L2,17,0.6
L2,18,0.6
L2,19,0.6
L2,20,0.6
L2,21,0.6
L2,22,0.6
L2,23,0.6
L2,24,0.6
